rank,username,full_name,followers,following,posts,verified,private,profile_url,discovery_depth
1,sportscenter,SportsCenter,38899744,594,62963,True,False,https://instagram.com/sportscenter,2
2,salmahayek,Salma Hayek Pinault,29960666,777,2508,True,False,https://instagram.com/salmahayek,2
3,erikankullberg,Erika Kullberg,5518297,88,279,True,False,https://instagram.com/erikankullberg,1
4,dadadvicefrombo,Dad Advice From Bo,4567527,4,491,True,False,https://instagram.com/dadadvicefrombo,1
5,paramore,paramore,3834924,11,77,True,False,https://instagram.com/paramore,1
6,your.richbff,Vivian Tu | Your Rich BFF,3699769,1960,1732,True,False,https://instagram.com/your.richbff,1
7,casper.capital,Casper Opala | Personal Finance,2610402,2319,497,True,False,https://instagram.com/casper.capital,2
8,calltoleap,Steve Chen,2159221,601,1002,True,False,https://instagram.com/calltoleap,1
9,gavinnewsom,Gavin Newsom,2129231,159,1610,True,False,https://instagram.com/gavinnewsom,2
10,grav3yardgirl,grav3yardgirl,1935637,290,3108,True,False,https://instagram.com/grav3yardgirl,1
11,milansinghhh,Milan Singh,1842703,292,1212,True,False,https://instagram.com/milansinghhh,2
12,marniethedog,Marnie The Dog,1479857,587,1114,True,False,https://instagram.com/marniethedog,1
13,braidenshaw,Braiden Shaw,1395405,914,720,True,False,https://instagram.com/braidenshaw,1
14,korndiddy,Zach Kornfeld,1251427,461,1696,True,False,https://instagram.com/korndiddy,1
15,edwardcollins_upleveled,Edward Collins | Business Coach For Generational Wealth,1152135,994,1261,True,False,https://instagram.com/edwardcollins_upleveled,2
16,rinasonline,Rina Sawayama,1042541,0,419,True,False,https://instagram.com/rinasonline,1
17,grannyspills,Granny Spills 💗,1023631,4,91,False,False,https://instagram.com/grannyspills,1
18,themarkethustle,The Market Hustle - Finance & Investing,1012745,1485,9508,True,False,https://instagram.com/themarkethustle,1
19,mikeytaylor,Mikey Taylor,901513,1853,1371,True,False,https://instagram.com/mikeytaylor,1
20,itsfinancialeducation,Wealth | Investing | Financial Literacy,662254,0,273,True,False,https://instagram.com/itsfinancialeducation,1
21,kinggizzard,kinggizzard,576359,720,18,True,False,https://instagram.com/kinggizzard,1
22,howtoconvince,Lawyer Vince,462031,96,305,False,False,https://instagram.com/howtoconvince,2
23,dailyprompter,Artificial Intelligence | Prompts | Technology,435856,29,726,False,False,https://instagram.com/dailyprompter,1
24,alerts,@alerts,291752,286,1318,False,False,https://instagram.com/alerts,0
25,ericnomics,Eric Pan,264534,678,566,True,False,https://instagram.com/ericnomics,1
26,ianbuildswealth,Ian Group | Money & Investing,251631,367,985,True,False,https://instagram.com/ianbuildswealth,0
27,erikataughtme,Erika Taught Me with Erika Kullberg,137275,156,738,False,False,https://instagram.com/erikataughtme,1
28,misterwives,MisterWives,100206,330,167,True,False,https://instagram.com/misterwives,1
